t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
0.01,1,$6.59 \times 10^{1}$,$6.55 \times 10^{1}$,$1.84 \times 10^{2}$,$6.68 \times 10^{1}$,2.79,2.80
,2,$1.01 \times 10^{1}$,$1.00 \times 10^{1}$,$2.90 \times 10^{1}$,$1.49 \times 10^{2}$,2.87,2.89
,3,2.14,2.13,$1.01 \times 10^{1}$,$2.51 \times 10^{2}$,4.71,4.75
,4,$5.30 \times 10^{-1}$,$5.25 \times 10^{-1}$,4.42,$4.05 \times 10^{2}$,8.34,8.41
,5,$1.44 \times 10^{-1}$,$1.39 \times 10^{-1}$,2.18,$5.63 \times 10^{2}$,$1.51 \times 10^{1}$,$1.57 \times 10^{1}$
,6,$5.35 \times 10^{-2}$,$3.84 \times 10^{-2}$,1.16,$7.06 \times 10^{2}$,$2.16 \times 10^{1}$,$3.02 \times 10^{1}$
,7,$1.67 \times 10^{-2}$,$1.09 \times 10^{-2}$,$6.46 \times 10^{-1}$,$5.10 \times 10^{2}$,$3.87 \times 10^{1}$,$5.94 \times 10^{1}$
,8,$9.88 \times 10^{-3}$,$3.15 \times 10^{-3}$,$3.73 \times 10^{-1}$,$5.28 \times 10^{2}$,$3.78 \times 10^{1}$,$1.19 \times 10^{2}$
,9,$7.52 \times 10^{-3}$,$9.27 \times 10^{-4}$,$2.21 \times 10^{-1}$,$8.56 \times 10^{2}$,$2.93 \times 10^{1}$,$2.38 \times 10^{2}$
,10,$5.45 \times 10^{-2}$,$2.78 \times 10^{-4}$,$1.33 \times 10^{-1}$,$9.80 \times 10^{2}$,2.44,$4.78 \times 10^{2}$
0.0125,1,$1.03 \times 10^{2}$,$1.02 \times 10^{2}$,$2.31 \times 10^{2}$,$7.17 \times 10^{1}$,2.24,2.26
,2,7.19,7.14,$2.94 \times 10^{1}$,$1.60 \times 10^{2}$,4.08,4.11
,3,1.02,1.01,8.69,$2.74 \times 10^{2}$,8.51,8.59
,4,$1.67 \times 10^{-1}$,$1.63 \times 10^{-1}$,3.50,$3.82 \times 10^{2}$,$2.09 \times 10^{1}$,$2.14 \times 10^{1}$
,5,$3.57 \times 10^{-2}$,$2.83 \times 10^{-2}$,1.58,$5.64 \times 10^{2}$,$4.43 \times 10^{1}$,$5.58 \times 10^{1}$
,6,$1.42 \times 10^{-2}$,$5.14 \times 10^{-3}$,$7.65 \times 10^{-1}$,$7.16 \times 10^{2}$,$5.39 \times 10^{1}$,$1.49 \times 10^{2}$
,7,$1.30 \times 10^{-2}$,$9.71 \times 10^{-4}$,$3.87 \times 10^{-1}$,$5.73 \times 10^{2}$,$2.98 \times 10^{1}$,$3.99 \times 10^{2}$
,8,$2.17 \times 10^{-2}$,$1.90 \times 10^{-4}$,$2.02 \times 10^{-1}$,$5.11 \times 10^{2}$,9.29,$1.06 \times 10^{3}$
,9,$2.41 \times 10^{-2}$,$3.87 \times 10^{-5}$,$1.08 \times 10^{-1}$,$8.33 \times 10^{2}$,4.46,$2.78 \times 10^{3}$
,10,$7.59 \times 10^{-3}$,$8.17 \times 10^{-6}$,$5.81 \times 10^{-2}$,$1.01 \times 10^{3}$,7.65,$7.11 \times 10^{3}$
0.015,1,$1.48 \times 10^{2}$,$1.47 \times 10^{2}$,$3.30 \times 10^{2}$,$6.80 \times 10^{1}$,2.23,2.24
,2,5.56,5.50,$8.26 \times 10^{1}$,$1.60 \times 10^{2}$,$1.49 \times 10^{1}$,$1.50 \times 10^{1}$
,3,$3.93 \times 10^{-1}$,$3.87 \times 10^{-1}$,$2.06 \times 10^{1}$,$2.61 \times 10^{2}$,$5.26 \times 10^{1}$,$5.34 \times 10^{1}$
,4,$4.00 \times 10^{-2}$,$3.38 \times 10^{-2}$,5.16,$3.99 \times 10^{2}$,$1.29 \times 10^{2}$,$1.53 \times 10^{2}$
,5,$1.78 \times 10^{-2}$,$3.42 \times 10^{-3}$,1.27,$5.89 \times 10^{2}$,$7.14 \times 10^{1}$,$3.71 \times 10^{2}$
,6,$7.34 \times 10^{-3}$,$3.85 \times 10^{-4}$,$4.79 \times 10^{-1}$,$6.81 \times 10^{2}$,$6.54 \times 10^{1}$,$1.24 \times 10^{3}$
,7,$7.22 \times 10^{-3}$,$4.79 \times 10^{-5}$,$2.17 \times 10^{-1}$,$5.80 \times 10^{2}$,$3.01 \times 10^{1}$,$4.54 \times 10^{3}$
,8,$3.72 \times 10^{-2}$,$6.49 \times 10^{-6}$,$1.01 \times 10^{-1}$,$4.92 \times 10^{2}$,2.71,$1.55 \times 10^{4}$
,9,$2.11 \times 10^{-2}$,$9.56 \times 10^{-7}$,$4.77 \times 10^{-2}$,$8.96 \times 10^{2}$,2.26,$4.99 \times 10^{4}$
,10,$1.59 \times 10^{-2}$,$1.52 \times 10^{-7}$,$2.28 \times 10^{-2}$,$8.94 \times 10^{2}$,1.43,$1.50 \times 10^{5}$
0.0167,1,$1.83 \times 10^{2}$,$1.82 \times 10^{2}$,$4.08 \times 10^{2}$,$7.51 \times 10^{1}$,2.23,2.24
,2,8.14,8.03,$1.81 \times 10^{2}$,$1.61 \times 10^{2}$,$2.23 \times 10^{1}$,$2.26 \times 10^{1}$
,3,$6.32 \times 10^{-1}$,$6.19 \times 10^{-1}$,$8.06 \times 10^{1}$,$2.72 \times 10^{2}$,$1.27 \times 10^{2}$,$1.30 \times 10^{2}$
,4,$6.29 \times 10^{-2}$,$5.17 \times 10^{-2}$,$3.58 \times 10^{1}$,$4.03 \times 10^{2}$,$5.69 \times 10^{2}$,$6.92 \times 10^{2}$
,5,$1.27 \times 10^{-2}$,$4.70 \times 10^{-3}$,$1.59 \times 10^{1}$,$5.64 \times 10^{2}$,$1.25 \times 10^{3}$,$3.38 \times 10^{3}$
,6,$8.67 \times 10^{-3}$,$4.58 \times 10^{-4}$,7.07,$7.09 \times 10^{2}$,$8.15 \times 10^{2}$,$1.55 \times 10^{4}$
,7,$3.06 \times 10^{-2}$,$4.77 \times 10^{-5}$,3.14,$5.34 \times 10^{2}$,$1.03 \times 10^{2}$,$6.59 \times 10^{4}$
,8,$8.38 \times 10^{-3}$,$5.38 \times 10^{-6}$,1.39,$5.26 \times 10^{2}$,$1.66 \times 10^{2}$,$2.59 \times 10^{5}$
,9,$1.05 \times 10^{-2}$,$6.71 \times 10^{-7}$,$5.54 \times 10^{-1}$,$9.83 \times 10^{2}$,$5.26 \times 10^{1}$,$8.25 \times 10^{5}$
,10,$1.15 \times 10^{-2}$,$9.31 \times 10^{-8}$,$1.63 \times 10^{-1}$,$9.74 \times 10^{2}$,$1.42 \times 10^{1}$,$1.75 \times 10^{6}$
0.0175,1,$2.02 \times 10^{2}$,$2.01 \times 10^{2}$,$4.50 \times 10^{2}$,$7.33 \times 10^{1}$,2.23,2.24
,2,$1.14 \times 10^{1}$,$1.13 \times 10^{1}$,$2.53 \times 10^{2}$,$1.53 \times 10^{2}$,$2.22 \times 10^{1}$,$2.25 \times 10^{1}$
,3,1.30,1.27,$1.42 \times 10^{2}$,$2.58 \times 10^{2}$,$1.10 \times 10^{2}$,$1.12 \times 10^{2}$
,4,$1.69 \times 10^{-1}$,$1.61 \times 10^{-1}$,$8.00 \times 10^{1}$,$4.30 \times 10^{2}$,$4.74 \times 10^{2}$,$4.98 \times 10^{2}$
,5,$3.08 \times 10^{-2}$,$2.17 \times 10^{-2}$,$4.50 \times 10^{1}$,$5.88 \times 10^{2}$,$1.46 \times 10^{3}$,$2.08 \times 10^{3}$
,6,$1.55 \times 10^{-2}$,$3.04 \times 10^{-3}$,$2.53 \times 10^{1}$,$1.13 \times 10^{3}$,$1.63 \times 10^{3}$,$8.30 \times 10^{3}$
,7,$1.00 \times 10^{-2}$,$4.47 \times 10^{-4}$,$1.42 \times 10^{1}$,$5.32 \times 10^{2}$,$1.42 \times 10^{3}$,$3.19 \times 10^{4}$
,8,$9.63 \times 10^{-3}$,$6.87 \times 10^{-5}$,8.01,$5.23 \times 10^{2}$,$8.31 \times 10^{2}$,$1.16 \times 10^{5}$
,9,$3.35 \times 10^{-2}$,$1.13 \times 10^{-5}$,4.50,$9.84 \times 10^{2}$,$1.34 \times 10^{2}$,$3.97 \times 10^{5}$
,10,$9.90 \times 10^{-3}$,$2.03 \times 10^{-6}$,2.53,$1.15 \times 10^{3}$,$2.56 \times 10^{2}$,$1.25 \times 10^{6}$
0.02,1,$2.64 \times 10^{2}$,$2.62 \times 10^{2}$,$5.87 \times 10^{2}$,$7.63 \times 10^{1}$,2.23,2.24
,2,$3.34 \times 10^{1}$,$3.31 \times 10^{1}$,$5.87 \times 10^{2}$,$1.60 \times 10^{2}$,$1.76 \times 10^{1}$,$1.78 \times 10^{1}$
,3,9.24,9.11,$5.87 \times 10^{2}$,$2.68 \times 10^{2}$,$6.36 \times 10^{1}$,$6.44 \times 10^{1}$
,4,2.78,2.74,$5.87 \times 10^{2}$,$4.02 \times 10^{2}$,$2.11 \times 10^{2}$,$2.14 \times 10^{2}$
,5,$8.69 \times 10^{-1}$,$8.52 \times 10^{-1}$,$5.87 \times 10^{2}$,$7.29 \times 10^{2}$,$6.76 \times 10^{2}$,$6.89 \times 10^{2}$
,6,$2.87 \times 10^{-1}$,$2.71 \times 10^{-1}$,$5.87 \times 10^{2}$,$1.20 \times 10^{3}$,$2.04 \times 10^{3}$,$2.17 \times 10^{3}$
,7,$1.45 \times 10^{-1}$,$8.80 \times 10^{-2}$,$5.87 \times 10^{2}$,$5.99 \times 10^{2}$,$4.04 \times 10^{3}$,$6.67 \times 10^{3}$
,8,$6.48 \times 10^{-2}$,$2.92 \times 10^{-2}$,$5.87 \times 10^{2}$,$5.34 \times 10^{2}$,$9.07 \times 10^{3}$,$2.01 \times 10^{4}$
,9,$7.37 \times 10^{-2}$,$9.96 \times 10^{-3}$,$5.87 \times 10^{2}$,$9.48 \times 10^{2}$,$7.97 \times 10^{3}$,$5.89 \times 10^{4}$
,10,$6.07 \times 10^{-2}$,$3.52 \times 10^{-3}$,$5.87 \times 10^{2}$,$1.18 \times 10^{3}$,$9.67 \times 10^{3}$,$1.67 \times 10^{5}$
