t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
0.0167,1,$1.83 \times 10^{2}$,$1.82 \times 10^{2}$,$5.23 \times 10^{2}$,$7.51 \times 10^{1}$,2.86,2.88
,2,8.14,8.03,$2.33 \times 10^{2}$,$1.61 \times 10^{2}$,$2.86 \times 10^{1}$,$2.90 \times 10^{1}$
,3,$6.32 \times 10^{-1}$,$6.19 \times 10^{-1}$,$1.03 \times 10^{2}$,$2.72 \times 10^{2}$,$1.64 \times 10^{2}$,$1.67 \times 10^{2}$
,4,$6.29 \times 10^{-2}$,$5.17 \times 10^{-2}$,$4.59 \times 10^{1}$,$4.03 \times 10^{2}$,$7.30 \times 10^{2}$,$8.89 \times 10^{2}$
,5,$1.27 \times 10^{-2}$,$4.70 \times 10^{-3}$,$2.04 \times 10^{1}$,$5.64 \times 10^{2}$,$1.61 \times 10^{3}$,$4.34 \times 10^{3}$
,6,$8.67 \times 10^{-3}$,$4.58 \times 10^{-4}$,9.08,$7.09 \times 10^{2}$,$1.05 \times 10^{3}$,$1.98 \times 10^{4}$
,7,$3.06 \times 10^{-2}$,$4.77 \times 10^{-5}$,4.03,$5.34 \times 10^{2}$,$1.32 \times 10^{2}$,$8.46 \times 10^{4}$
,8,$8.38 \times 10^{-3}$,$5.38 \times 10^{-6}$,1.79,$5.26 \times 10^{2}$,$2.14 \times 10^{2}$,$3.33 \times 10^{5}$
,9,$1.05 \times 10^{-2}$,$6.71 \times 10^{-7}$,$7.97 \times 10^{-1}$,$9.83 \times 10^{2}$,$7.57 \times 10^{1}$,$1.19 \times 10^{6}$
,10,$1.15 \times 10^{-2}$,$9.31 \times 10^{-8}$,$3.54 \times 10^{-1}$,$9.74 \times 10^{2}$,$3.09 \times 10^{1}$,$3.80 \times 10^{6}$
0.0175,1,$2.02 \times 10^{2}$,$2.01 \times 10^{2}$,$5.77 \times 10^{2}$,$7.33 \times 10^{1}$,2.86,2.88
,2,$1.14 \times 10^{1}$,$1.13 \times 10^{1}$,$3.25 \times 10^{2}$,$1.53 \times 10^{2}$,$2.85 \times 10^{1}$,$2.88 \times 10^{1}$
,3,1.30,1.27,$1.83 \times 10^{2}$,$2.58 \times 10^{2}$,$1.41 \times 10^{2}$,$1.43 \times 10^{2}$
,4,$1.69 \times 10^{-1}$,$1.61 \times 10^{-1}$,$4.59 \times 10^{1}$,$4.30 \times 10^{2}$,$2.72 \times 10^{2}$,$2.86 \times 10^{2}$
,5,$3.08 \times 10^{-2}$,$2.17 \times 10^{-2}$,$5.78 \times 10^{1}$,$5.88 \times 10^{2}$,$1.88 \times 10^{3}$,$2.67 \times 10^{3}$
,6,$1.55 \times 10^{-2}$,$3.04 \times 10^{-3}$,$3.25 \times 10^{1}$,$1.13 \times 10^{3}$,$2.09 \times 10^{3}$,$1.07 \times 10^{4}$
,7,$1.00 \times 10^{-2}$,$4.47 \times 10^{-4}$,$1.83 \times 10^{1}$,$5.32 \times 10^{2}$,$1.82 \times 10^{3}$,$4.09 \times 10^{4}$
,8,$9.63 \times 10^{-3}$,$6.87 \times 10^{-5}$,$1.03 \times 10^{1}$,$5.23 \times 10^{2}$,$1.07 \times 10^{3}$,$1.50 \times 10^{5}$
,9,$3.35 \times 10^{-2}$,$1.13 \times 10^{-5}$,5.78,$9.84 \times 10^{2}$,$1.72 \times 10^{2}$,$5.10 \times 10^{5}$
,10,$9.90 \times 10^{-3}$,$2.03 \times 10^{-6}$,3.25,$1.15 \times 10^{3}$,$3.29 \times 10^{2}$,$1.60 \times 10^{6}$
0.02,1,$2.64 \times 10^{2}$,$2.62 \times 10^{2}$,$7.54 \times 10^{2}$,$7.63 \times 10^{1}$,2.86,2.88
,2,$3.34 \times 10^{1}$,$3.31 \times 10^{1}$,$7.54 \times 10^{2}$,$1.60 \times 10^{2}$,$2.26 \times 10^{1}$,$2.28 \times 10^{1}$
,3,9.24,9.11,$7.54 \times 10^{2}$,$2.68 \times 10^{2}$,$8.16 \times 10^{1}$,$8.27 \times 10^{1}$
,4,2.78,2.74,$7.54 \times 10^{2}$,$4.02 \times 10^{2}$,$2.71 \times 10^{2}$,$2.75 \times 10^{2}$
,5,$8.69 \times 10^{-1}$,$8.52 \times 10^{-1}$,$7.54 \times 10^{2}$,$7.29 \times 10^{2}$,$8.67 \times 10^{2}$,$8.84 \times 10^{2}$
,6,$2.87 \times 10^{-1}$,$2.71 \times 10^{-1}$,$7.54 \times 10^{2}$,$1.20 \times 10^{3}$,$2.62 \times 10^{3}$,$2.78 \times 10^{3}$
,7,$1.45 \times 10^{-1}$,$8.80 \times 10^{-2}$,$7.54 \times 10^{2}$,$5.99 \times 10^{2}$,$5.19 \times 10^{3}$,$8.56 \times 10^{3}$
,8,$6.48 \times 10^{-2}$,$2.92 \times 10^{-2}$,$7.54 \times 10^{2}$,$5.34 \times 10^{2}$,$1.16 \times 10^{4}$,$2.58 \times 10^{4}$
,9,$7.37 \times 10^{-2}$,$9.96 \times 10^{-3}$,$7.54 \times 10^{2}$,$9.48 \times 10^{2}$,$1.02 \times 10^{4}$,$7.56 \times 10^{4}$
,10,$6.07 \times 10^{-2}$,$3.52 \times 10^{-3}$,$7.54 \times 10^{2}$,$1.18 \times 10^{3}$,$1.24 \times 10^{4}$,$2.14 \times 10^{5}$
